Title,Release,Meta_score,User_score,Director,Starring,Genre
Moonlight,2016,99,7.1,Barry Jenkins,"Alex R. Hibbert, Ashton Sanders, Duan Sanderson, Herman 'Caheei McGloun, Jaden Piner, Janelle Monáe, Mahershala Ali, Naomie Harris, Shariff Earp",Drama
Pan's Labyrinth,2006,98,8.7,Guillermo del Toro,"Ariadna Gil, Ivana Baquero, Sergi López","Drama, Mystery, Thriller, Fantasy, War"
This page is not working,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
The Social Network,2010,95,8.2,David Fincher,"Andrew Garfield, Jesse Eisenberg, Justin Timberlake","Biography, Drama, History, Comedy"
I Am Not Your Negro,2016,95,5.4,Raoul Peck,Not Available,Documentary
Carol,2015,94,7.9,Todd Haynes,"Cate Blanchett, Cory Michael Smith, Jake Lacy, John Magaro, Kyle Chandler, Rooney Mara, Sarah Paulson","Drama, Romance"
Taxi Driver,1976,94,7.6,Martin Scorsese,"Albert Brooks, Cybill Shepherd, Diahnne Abbott, Frank Adu, Garth Avery, Gino Ardito, Jodie Foster, Peter Boyle, Robert De Niro, Victor Argo","Drama, Thriller, Crime"
The Irishman,2019,94,8.1,Martin Scorsese,"Al Pacino, Aleksa Palladino, Anna Paquin, Bobby Cannavale, Dascha Polanco, Harvey Keitel, Jack Huston, Jake Hoffman, Jesse Plemons, Joe Pesci, Kathrine Narducci, Ray Romano, Robert De Niro, Sebastian Maniscalco, Stephanie Kurtzuba, Stephen Graham, Steve Van Zandt","Biography, Drama, History, Thriller, Crime"
Lady Bird,2017,94,7.6,Greta Gerwig,"Andy Buckley, Beanie Feldstein, Danielle Macdonald, Jake McDorman, Jordan Rodrigues, Kathryn Newton, Kristen Cloke, Laura Marano, Laurie Metcalf, Lois Smith, Lucas Hedges, Odeya Rush, Saoirse Ronan, Stephen Henderson, Timoth, Tracy Letts","Drama, Comedy"
Marriage Story,2019,94,8.2,Noah Baumbach,"Adam Driver, Alan Alda, Albert Jones, Ayden Mayeri, Azhy Robertson, Brooke Bloom, David Turner, Eric Berryman, Gideon Glick, Julia Greer, Julie Hagerty, Kyle Bornheimer, Laura Dern, Mark O'Brien, Mary Hollis Inboden, Matthew Maher, Merritt Wever, Mickey Sumner, Ray Liotta, Robert Smigel, Scarlett Johansson, Wallace Shawn","Drama, Comedy, Romance"
"Crouching Tiger, Hidden Dragon",2000,94,8.1,Ang Lee,"Michelle Yeoh, Yun-Fat Chow, Ziyi Zhang","Action, Adventure, Drama, Fantasy, Romance"
There Will Be Blood,2007,93,8.1,Paul Thomas Anderson,Daniel Day-Lewis,"Drama, Thriller"
Spotlight,2015,93,8.1,Thomas McCarthy,"John Slattery, Liev Schreiber, Mark Ruffalo, Michael Keaton, Rachel McAdams, Stanley Tucci","Biography, Drama, History, Thriller"
Platoon,1987,92,8.0,Oliver Stone,"Tom Berenger, Willem Dafoe","Drama, War"
This page is not working,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Cool Hand Luke,1967,92,8.8,Stuart Rosenberg,"Clifton James, George Kennedy, J.D. Cannon, Jo Van Fleet, Lou Antonio, Luke Askew, Morgan Woodward, Paul Newman, Robert Drivas, Strother Martin","Drama, Crime"
E.T. The Extra-Terrestrial,1982,91,8.3,Steven Spielberg,"Dee Wallace, Drew Barrymore, Erika Eleniak, Henry Thomas, Peter Coyote","Adventure, Sci-Fi, Drama, Fantasy, Family"
Uncut Gems,2019,91,7.1,Ben Safdie,"Adam Sandler, Deneke Muhugeta, Habtunu Africho, Idina Menzel, Jacob Igielski, Jonathan Aranbayev, Julia Fox, Keith Williams Richards, Kevin Garnett, Lakeith Stanfield, Liang Wei-Hei Duncan, Mesfin Lamengo, Noa Fisher, Paloma Elsesser, Suin Zhi Hua-Hilton, Sunny Wu Jin Zahoo, The Weeknd, Tommy Kominik, Warren Finkelstein","Drama, Mystery, Thriller, Comedy, Crime"
Burning,2018,90,7.8,Chang-dong Lee,"Ah In Yoo, Bok-gi Min, Hye-ra Ban, Ja-Yeon Ok, Jong-seo Jeon, Joong-ok Lee, Mi-Kyung Cha, Moon Sung-Keun, Seong-kun Mun, Seung-ho Choi, Soo-Jeong Lee, Soo-Kyung Kim, Steven Yeun","Drama, Mystery"
I Called Him Morgan,2017,90,6.7,Kasper Collin,Not Available,"Drama, History, Music, Documentary"
Goodfellas,1990,90,8.9,Martin Scorsese,"Joe Pesci, Lorraine Bracco, Paul Sorvino, Ray Liotta, Robert De Niro","Biography, Drama, Crime"
Searching for Bobby Fischer,1993,89,8.1,Steven Zaillian,"Ben Kingsley, David Paymer, Hal Scardino, Joan Allen, Joe Mantegna, Laurence Fishburne, Max Pomeranc, Michael Nirenberg, Robert Stephens, Vasek Simek","Biography, Drama"
Uncertain,2017,89,8.5,Anna Sandilands,Not Available,"Drama, Comedy, Documentary"
The Artist,2011,89,8.2,Michel Hazanavicius,Not Available,Romance
Dick Johnson Is Dead,2020,89,7.4,Kirsten Johnson,"Ana Hoffman, Dick Johnson, Kirsten Johnson, Vasthy Mompoint","Drama, Documentary"
The Death of Stalin,2018,88,7.4,Armando Iannucci,"Adrian McLoughlin, Andrea Riseborough, Jason Isaacs, Jeffrey Tambor, Jonathan Aris, Justin Edwards, Michael Palin, Olga Kurylenko, Paddy Considine, Paul Ready, Richard Brake, Roger Ashton-Griffiths, Rupert Friend, Simon Russell Beale, Steve Buscemi, Sylvestra Le Touzel, Tom Brooke, Yulya Muhrygina","Biography, Drama, History, Comedy"
Time Out,2002,88,6.9,Laurent Cantet,"Aurélien Recoing, Karin Viard",Drama
Howards End,1992,88,8.1,James Ivory,"Anthony Hopkins, Emma Thompson","Drama, Romance"
Hell or High Water,2016,88,8.1,David Mackenzie,Not Available,"Drama, Crime"
Shirkers,2018,88,7.5,Sandi Tan,"Ben Harrison, Georges Cardona, Grace Dane Mazur, Jasmine Kin Kia Ng, Philip Cheah, Sandi Tan, Sophia Siddique Harvey, Stephen Tyler",Documentary
Aquarius,2016,88,8.6,Kleber Mendonça Filho,Not Available,Drama
The Body Remembers When the World Broke Open,2019,87,Not Available,Elle-Máijá Tailfeathers,"Aidan Dee, Anthony Bolognese, Barbara Eve Harris, Charlie Hannah, Elle-Máijá Tailfeathers, James Angus Cowan, Jay Cardinal Villeneuve, Sonny Surowiec, Tony Massil, Violet Nelson",Drama
Ma Rainey's Black Bottom,2020,87,6.6,George C. Wolfe,"Chadwick Boseman, Colman Domingo, Dusan Brown, Glynn Turman, Jeremy Shamos, Jonathan Coyne, Joshua Harto, Michael Potts, Taylour Paige, Viola Davis","Drama, Music"
Happy as Lazzaro,2018,87,7.9,Alice Rohrwacher,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Alessandro Genovesi, Antonio Salines, Carlo Massimino, Daria Pascal Attolini, David Bennent, Davide Denci, Elisabetta Rocchetti, Luca Chikovani, Maddalena Baiocco, Natalino Balasso, Nicoletta Braschi, Sergi López, Tommaso Ragno",Drama
Ordinary People,1980,86,6.5,Robert Redford,"Donald Sutherland, Mary Tyler Moore",Drama
Rebecca,1940,86,8.4,Alfred Hitchcock,"C. Aubrey Smith, Florence Bates, George Sanders, Gladys Cooper, Joan Fontaine, Judith Anderson, Laurence Olivier, Melville Cooper, Nigel Bruce, Reginald Denny","Drama, Mystery, Thriller, Romance"
